Rank,Resume Index,Resume Text
514,1312,"GRAPHIC DESIGNER
Professional Summary
Hi There!
As a designer with a strong passion for this profession and excellent qualification, I am seeking to align myself with your company for strong
growth. The range of my experiences include anything from editorial and packaging designs, marketing and advertising promotional products and
people, and developing conceptual designs. My southern heritage and style is reflected in my designs, and personality. I have the will to succeed
and the motivation to..."
515,886,"BUSINESS DEVELOPMENT
Executive Profile
Over 17 years of demonstrated operational, consulting and architecture experience in IT development, implementations and architectures with a
proven background in capturing new business ranging from $1 Million to over $1.5 Billion Total Contract Value. 
Experienced leader with strong
business and technical skills. 
Successful track record of supporting bid analysis and decomposition of requirements to provide strategic IT
architectures that meet demanding f..."
516,1680,"FINANCE MANAGER
Executive Profile
Administrative professional offering excellent communication and computer skills. Meets deadlines and works with a high level of multicultural
awareness and adaptability.
Skill Highlights
Extensive knowledlge of Real Estate programs
Management 
Experience, Multitasking
Extensive Customer Service and Problem Solving
Experience
Proficient in 
Quick Books, Act, and Microsoft Outlook. Microsoft
Office
Project management.
Professional Experience
Finance Manager
 
Jun..."
517,1890,"AUDIT AND RECOVERY SPECIALIST
Summary
Proficient and highly skilled Customer support specialist with years of experience seeking to use my extensive background in customer relations,
collections and sales into an intermediate-level position with future advancement.
Experience
Company Name
 
City
 
, 
State
 
Audit and Recovery Specialist
 
01/2016
 
to 
Current
Review, investigate, analyze, and resolve key issues at the provider and client level.
Manage outstanding inventory as assigned by maint..."
518,1843,"MARKETER / ADMINISTRATOR
Professional Summary
Administrative, Healthcare & Pharmaceutical Sales Dedicated and motivated professional with a strong background in Medical, Pharmaceutical &
Dental Sales and New Business Development. 
Years of successful experience consulting and training on multifaceted projects, developing and
implementing effective promotional techniques, and facilitating profitable relationships with a wide range of clients and key business partners. Called
on various clinical r..."
519,1569,"ENGINEERING MANAGER
Experience
Engineering Manager
 
February 2008
 
to 
Current
 
Company Name
 
ï¼​ 
City
 
, 
State
Supervisor: Tom Mosca, VP Manufacturing
Manager of tool room, tool service, and punch manufacturing departments
Manager of engineering, drafting, CNC programming, and lean/continuous improvement
Engineering support for supervisors and shop floor with emphasis on problem solving
Research, planning and execution of capital projects
Design and engineering calculations for custom ar..."
520,1086,"CONSTRUCTION COORDINATOR
Summary
Dedicated and results-driven OSP Specialist with twenty years of progressive and diversified experience in Outside Plant Telecommunications
Engineering and Construction, Wireless Backhaul Engineering, Low Latency Optimization and related areas. Proven skills include the ability to
manage multiple projects and meet critical deadlines, knowledge of construction methodologies associated with the placement of aerial and
underground systems, design, engineering, estim..."
521,2152,"ADMINISTRATIVE ASSISTANT DIRECTOR HUMAN RESOURCES MANAGER PRODUCTION MANAGER ENGINEERING
MANAGER
Summary
Dedicated and focusedÂ Administrative AssistantÂ who excels at prioritizing, completing multiple tasks simultaneously, and following through to
achieve project goals.Â 
Highlights
Microsoft Office Proficiency
KRONOS
Internet Software
Microsoft Word/PowerPoint/Excel
Office Management
Microsoft Access
Organizing Meetings/Materials Preparation
LotusNotes & Microsoft Outlook Email
Planning and Fa..."
522,38,"ACCOUNTANT
Highlights
-Soft Skills: Public Speaking, Public Relations, Team Building, Project Management, Procedure writing, Staff Supervision and Management,
Ability to interface with professionals on all levels. Accomplishments, Honors, and Activities -Board of Directors Member for the Food Bank of
Corpus Christi from November 2010 to April 2013. -Held Life Insurance License -Basketball Official (Referee) High School Varsity Level.
Accomplishments
Accomplishments, Honors, and Activities
Experi..."
523,1987,"SENIOR HR MANAGER, HR BUSINESS PARTNER
Summary
A highly dedicated and accomplished human resources manager with a record of proficiency in employee relations, training and development
programs, recruitment and on boarding, payroll management, benefits administration, HRMS Database administration, job description
development, wage/salary reviews, record keeping, and compliance. 
A proven leader in championing company values, vision, and expectations
through effective communication and facilitatio..."
524,561,"NON COMMISSIONED SECURITY OFFICER
Summary
Seeking an entry level position in a technology based company using my skills and familiarization with Apple/Mac/Windows operating systems.
Experience
Non Commissioned Security Officer
 
Current
 
Company Name
 
ï¼​ 
City
 
, 
State
 
* Understand and successfully execute post orders. â—​ Manage typical issues and problems
professionally. â—​ to serve as a general security presence and visible deterrent by continually performing duties in an alert, profe..."
525,299,"DIRECTOR OF MARKETING, COMMUNICATIONS AND IT
Core Accomplishments
Initiated a student leadership development programÂ Â 
 a student leadership development program
 Â resultingÂ in
 Â graduates in position
ofÂ decision-making responsibility
 .
CAHS Student Leadership Apprentice Program
Big Boom Business Planning Institute
Host of ""Outlook on Agriculture"" Weekly Radio Show on KPVU 91.3FM and Sirius XM HBCU Channel 142
Experience
02/2013
 
to 
Current
Director of Marketing, Communications and IT
 
..."
526,1804,"SERVER
Professional Summary
Ambitious student looking for an opportunity to use my knowledge and experience to learn about the mental health field.
Skill Highlights
Superior communication skills
Solution-focused counseling
Exceptional problem solver
Positive attitude
Professional Experience
Company Name
 
City
 
, 
State
 
Server
 
01/2017
 
to 
Current
Spoke with patrons to ensure satisfaction with food and service 
Displayed enthusiasm and knowledge about the restaurant's menu and
products.
Co..."
527,129,"DOMESTIC VIOLENCE AND SEXUAL ASSAULT ADVOCATE
Professional Summary
Certified Massachusetts Domestic Violence and Sexual Assault Advocate driven to help survivors overcome numerous intersecting social, mental
and emotional obstacles. Experience developing and facilitating groups for many age groups and populations, and excellent outreach background.
Skill Highlights
Individual Counseling
Group facilitation
Risk Assessment
Program Development
Youth Advocacy
Court advocacyÂ 
Outreach
Case managemen..."
528,1016,"CUSTOMER SERVICE REP
Professional Summary
I am currently seeking a full-time position, in an environment that will be a greater challenge for me. I'm also aiming to learning new skills or using
my own skills, to help me better myself in the real world and will allow opportunities for advancement. I am an accomplished and motivated
individual with a solid background in AutoCAD design, layout, and design for products. But I also have experience in Customer Service
Representative and Administration..."
529,1415,"EDITORIAL ASSISTANT
Summary
Focused Journalist successful in developing feature articles, short stories, editorial pieces and broadcast scripts. Strong technical command of the
English language and familiarity with a wide range of writing styles. Committed to maintaining journalistic excellence and integrity.
Skills
Proficient with video editing software: Final Cut Pro and Edius.
Desktop Publishing Software: Photoshop, Illustrator, HTML
Photojournalism and videography
Copy editing and proofreadi..."
530,155,"PATIENT ADVOCATE /CLINICAL CARE COORDINATOR
Career Focus
Selling capital equipment computer hardware and software to corporate accounts. 
Supporting management and staff in developing and maintaining
market share through aggressive account sales growth. 
Top 10% in the nation, #1 in the region three years in a row. 
*Recognized as top
performing sales and marketing specialty representative. Analytical thinking and administrative skills, leadership, interpersonal skills, communication
skills, sel..."
531,2471,"TEACHER
Professional Summary
Looking for a position to use my strong passion for children's development, together with skills and experience that will enable me to make a
significant difference. Also, to build a long-term career with opportunities for growth and to keep up with the cutting edge of the technologies.
Qualifications
Excellent communication and multi -tasking skills
developed from previous experiences
Excellent leadership skills, with the ability to take
necessary actions in tasks w..."
532,1366,"SOCIAL MEDIA MARKETING MANAGER
Summary
Recent graduate with excellent research, time management, and problem solving skills. Ability to function at a high level in a fast-paced
environment. Passionate about travel and international education.Â 
Highlights
Deadline-driven
Critical thinker
Detail oriented
Able to work independently and as a member of a team
Organizational planning
Exceptional multi-tasker
Decisive problem solver
Interpersonal, oral, and written communication skills
Experience
Comp..."
533,834,"STAFFING BUSINESS DEVELOPMENT MANAGER
Summary
Results-oriented Business development professional with a 10-year track record of surpassing sales quotas within highly competitive markets
across a broad range of industries. Exceptional communicator with a consultative sales style, success in leading effective strategies to improve
problem-solving abilities, and a keen client needs assessment aptitude. Aggressively identify opportunities, develop focus, and provide tactical
business solutions. To b..."
534,1886,"ENUMERATOR
Summary
Recent graduate with BA in Business Administration looking to obtain a position as an Administrative Assistant in which my organizational abilities
can be fully utilized. Hard working and goal-oriented professional with four years of experience seeking a to achieve career growth where I will get
an opportunity to utilize my skills and abilities in handling the clerical and administrative support work, and activities.
Highlights
Time Management
SAP and SRM
Cash Request / Cash h..."
535,209,"HUMAN RESOURCES PROFESSIONAL
Professional Summary
Experienced working in fast-paced environments demanding strong organizational, technical, and interpersonal skills. Highly trustworthy, ethical,
and discreet; committed to superior customer service. Confident and poised in interactions with individuals at all levels. Detail-oriented and
resourceful in completing projects; able to multitask effectively.
Skills
Networking and Partnership Development
Decision Making
Report Preparation
Human Resourc..."
536,1660,"SENIOR FINANCE MANAGER
Summary
Highly driven finance professional with over 8 years of progressive experience in the advertising and entertainment industry. 
Extremely proficient
with managing month-end, quarter-end, and year-end deadlines.
Highlights
Staff management/development
Balance sheet reconciliations
Process improvement
Managing audit requests
Financial reporting
Cash flow analysis
Budget development
Excellent research and financial analysis abilities Microsoft Excel, Microsoft Word, an..."
537,1923,"STAFFING MANAGER
Professional Summary
s
 well to change and possesses extensive expert knowledge of human resources employment process within a variety of industries. 
[Job Title]
focused on improving productivity, increasing efficiency and enhancing quality. Consistently exceeds goals for staffing and retention. Human
Resources Recruiter accomplished in sourcing, screening, qualifying and closing candidates, as well as coordinating interviews and follow up.
Skills
Good judgment
Human resources ..."
538,1356,"GRAPHIC DESIGNER
Summary
Enthusiastic student majoring in Chemistry; great at performing many task in a timely matter and as efficient as possible. Strong background in
computer tasks and data analysis as well as business management.
Highlights
General Chemistry and Organic 
Basic HTML coding, Microsoft Office, 3D Chemistry Laboratories including synthesis, 
animation, database
analysis. purification, and extraction. 
Inventory management and sales/profit IR spectroscopy as well as analyzing NMR..."
539,312,"FINE APPAREL DEPARTMENT MANAGER
Summary
Results driven General Manager with strong interpersonal skills with extensive luxury retail sales experience, focused on client development and
retention. Success has no excuses.
Accomplishments
Increased gross revenues at Max Mara Northbrook by 76%
Promoted to Store Manager after 12 months in the Assistant Manager position
Promoted to Assistant Manager after 6 months in the Stylist position
Profitably sold Sans Pareil Inc.
Turned a $2000 investment into ..."
540,285,"PROGRAM SUPPORT ASSISTANT
Experience
June 2012
to
January 2015
Company Name
 
City
 
, 
State
 
Program Support Assistant
 
Accounting Tech- responsible for claims matching, adjustments, refunds and complete
account audits of veteran's accounts. Produced voucher refunds, processed returned First Party checks. Prepared public vouchers for processing,
refund reviews, pre-payments, claims- matching reports, and audit requests from Veterans or other VA entities. Provided assistance with Debt
Managem..."
541,701,"PROJECT COORDINATOR
Highlights
SKILL SUMMARY
I have well developed Time Management skills
I work to a very high standard, with an eye for detail, goal orientated.
I have excellent communicate skills
I establish and maintain effective cooperative working relationships with people of all levels
I am enthusiastic, passionate, motivated, honest & a reliable team player
I work from a Strength base focused in problem solving
I have well developed computer skills in MS Office, Excel, Power Point and In..."
542,60,"STAFF ACCOUNTANT
Summary
Flexible Accountant who adapts seamlessly to constantly evolving accounting processes and technologies. 
Committed to keeping accurate
accounting records. Possesses a natural knack for numerical accuracy and calculating balances.
Highlights
Account reconciliations
Cash-flow report generation
ACCPAC accounting skills
Accounts receivable professional
Accounting operations professional
Knowledge of Sage
General ledger accounting aptitude
Complex problem solving
Great Plains..."
543,425,"MIDDLE SCHOOL PRINCIPAL
Executive Profile
To obtain the job that continues to expand my administrative experience working with staff, students and parents to develop a shared vision and
leading school community in achieving those goals. I firmly believe that all children deserve to have every opportunity to learn in a positive,
supportive environment as well as have a multitude of opportunities to discover and explore areas of interest helping them to develop into a well-
rounded individual who ..."
544,1867,"HOME HEALTHCARE TECHNICIAN
Summary
Certified Nursing Assistant with 3+ years work in fast-paced environment handling confidential paperwork, administering medication and providing
quality patient careHardworking, skilled at wound care, mobility assistance and charting. Highly flexible and willing to work all shifts. E
 
xperience
serving chronically ill patients, including assisting with daily living activities and household tasks. Patient and highly compassionate. 
Â Home health
care and hospic..."
545,2144,"INFORMATION TECHNOLOGY SPECIALIST I
Professional Summary
Skills
account management, cables, cabling, Help Desk, Linux, MS Exchange server, Sharepoint, network security, desktop support, Unix, HP Unix,
VBscript, Visual Basic Programming, Windows Server
Active Directory account management, Help Desk, Linux, MS Exchange server 2010, network/server security, desktop support, Unix, Windows
Server, Geographic Information system, group policy SCOM & SCCM, vbscripts and Powershell, SANs,
Active Director..."
546,1137,"PERSONAL ASSISTANT/INTERN TO DEPUTY MINISTER OF CONSTRUCTION AND HOUSING- SIERRA, E. A.
Summary
Executive administrative support professional offering versatile office management, planning and research skills. Committed to quality performance,
cognitive thinking and management of organizational goals.
Seeking a position of Development or Executive Assistant where my skills in identifying project strategies and locations are utilized for mutual
growth and success. Particularly wish to apply my ex..."
547,1881,"ADMINISTRATIVE ASSISTANT
Summary
Performance-focused leader eager to offer dynamic customer service / administrative assistance, business support, data / recordkeeping, and client
relations talents toward maximizing your success within a growth-oriented role. ADMINISTRATIVE OPERATIONS * ACCOUNT
MANAGEMENT * DATA / RECORDKEEPING * BILLING / INVOICES * CUSTOMER SERVICE APPOINTMENT SCHEDULING *
SUPPLIES ORDERING * INVENTORY CONTROL * WORK PRIORITIZATION * BUSINESS BOOKKEEPING REGULATORY
COMPLIANCE ..."
548,1697,"RECREATION & SPORTS COORDINATOR
Objective
To gain a Recreation Supervisor position so that I can provide support to professional and part time staff. I am looking for the opportunity to guide
day to day operations of high quality, community recreation facilities. I hope to provide the type of support and management conducive to a healthy
work environment so that all staff can not only complete their roles & responsibilities, but also provide a facility that runs efficiently and offers
exceptiona..."
549,328,"PRODUCTION CONTROL / SR. MERCHANDISER
Summary
Seeking fulltime/contract position where I can use my engineering, management background, Operation knowledge, merchandising and analytical
skills at the most.
Skills
MS Excel: Pivot table, Hlook up; Vlookup, moderate macros, advanced functions.
Access, MS Word, MS PowerPoint, MS Outlook., SAP
Accomplishments
Taken training on different type of stitching machines like SNLS, DNLS, F-O-A, W/B attaching machine, 5-thread, 3-thread, bar tack,
zigzag mach..."
550,2103,"DATABASE PROGRAMMER/ANALYST (.NET DEVELOPER)
Summary
Software Engineer with 2 years in Web Developer specializing in front end development. Proficient in Software Development Life Cycle (SDLC)
and SRUM AGILE methodologies of development process to produce software solutions by team. Involved in designing, planning, developing
and implementing Microsoft .Net based solutions that meet quality and code standards using C#, ASP.Net, ASP.Net MVC JavaScript, jQuery,
CSS, Bootstrap CSS, HTML, XML and AJ..."
551,39,"SENIOR ACCOUNTANT
Summary
11 + years experience in the accounting profession. Bachelors Degree - in Accounting and studying for CPA license. Managed tax preparation
and filing for 25 diverse companies such as sole proprietors, corporations, s-corps, partnership, non-profit organization in many different industries
for 10 different states. Results-oriented Accountant skilled in regulatory reporting, tax accounting operations with an e
 xtensive knowledge of
accounting software and processes.
High..."
552,464,"ARTS EDUCATOR
Summary
Creative and innovative 
Art
 
teacher passionate about making theÂ  middle and high school experience a positive one for all students. Works to
improve school climate so that all students can learn course materials, as well as the social skills they need to thrive in all aspects of their lives.Â 
Excellent communication, interpersonal and effective leadership skills create easy interaction with students, parents and other staff.
Accomplishments
Served as the advisor for th..."
553,56,"ACCOUNTANT
Professional Summary
Results-oriented and organized bilingual accounting and finance professional with 10 + years extensive and diverse accounting, auditing, and
finance experience. 
Experience in all aspects of financial reporting, accruals, and managerial cost accounting, reporting systems, operational
analysis, and human resources functions through the acceptance of expanded responsibilities after exceptional performance. 
Knowledge of
Accounting theory, principles, practices, and ..."
554,41,"STAFF ACCOUNTANT
Summary
SkilledÂ Accountant successful at managing multiple projects and consistently meeting deadlines under pressure. Extensive knowledge of
accounting software and processes.Â Additional ba
 ckground in payroll, employee management, hiring, training and benefits. Highly detail-oriented
and organized.
Highlights
Financial statement analysis
Account reconciliation expert
General ledger accounting
Effective time management
Strong organizational skills
Flexible team player
Experi..."
555,1900,"HEALTHCARE ASSOCIATE
Summary
Energetic, resourceful, and results-driven professional .Skilled at working effectively both independently and collaboratively as part of a team
within fast-paced environments to complete projects and responsibilities while adhering to deadlines and quality standards.
Skills
EPIC, Microsoft Office Suite (Word/Excel/PowerPoint), Healthcare Systems, Insurance/Billing, Sorian Scheduling, Health/Medical Records,
Research, Reports, Databases, Data Analysis, and PCs/Window..."
556,1204,"CONSULTANT
Career Focus
Business Professional acutely focused on customer service and network building. Promptly develops vital relationships needed to operate and
succeed in a sales field. Manager with expertise in delivering support services and resolving customer complaints. Over seven years of experience
in Real estate development. 
Also a quick study, with an ability to easily grasp and put into application new ideas, concepts, and technologies.
Exceptional organizational, communication, in..."
557,2404,"TEACHER
Summary
Kind and compassionate Elementary School Teacher dedicated to creating an atmosphere that is stimulating and encouraging to all students.
Enjoys using modern technology in the classroom.
Highlights
Texas Teaching Certificate with Early Childhood Education endorsement
Urban public schools background
Critical thinker
Title I knowledge
Curriculum development
Standardized testing techniques
Learning assessments
IEPs knowledge
Decisive
Flexible and adaptive
Calm under pressure
Member ..."
558,1290,"CAD DESIGNER
Skills
Catia V5 Solidworks
Inventor Pro-E Wildfire 4, Creo 2.0
GD&T
Production floor support
Design for Manufacturability
Supplier support
Professional Experience
April 2013
to
Current
Company Name
 
City
 
, 
State
 
CAD Designer
Team member in Engine Peripheral group 3D design and creation of 2D drawings using Creo 2.0 Process Engineering Change Notices in
Teamcenter PDM and JD Edwards software Create complex models of engine intakes, exhausts, style covers, etc.
using surfacing H..."
559,45,"Summary
I have many years of experience in accounting and finance including: audit, financial analysis, bank reconciliations, accounts payables/receivables,
financial statements, month and year end reporting, and budgeting
Highlights
MS Word, PowerPoint, Outlook, Access, and Excel (Advanced), Creative Solutions, QuickBooks, Fedielio (Hotels), Sales Tax Express, and
other proprietary accounting software
*Over 18 years of experience in accounting and finance including: audit, financial analysis, b..."
560,407,"PRODUCTION ASSISTANT INTERN
Summary
Energetic and dedicated film student currently completing degree in media management and production. Strong interests in creative development,
character writing and acting.
Experience
Production assistant intern
 
Oct 2015
 
to 
Jan 2016
 
Company Name
 
ï¼​ 
City
 
, 
State
Assist casting directors, producers and actors with audition process
Organize schedules, video and audio files
Handle cameras and various production equipment
Assisting with setup for prin..."
561,588,"JAVA INTERN
Career Overview
Developer well-versed in structuring, developing and implementing interactive websites.
 
with experience in back-end programming, relational
databases and performance testing SAN.
Education
May 2015
 
Wichita State University
 
ï¼​ 
City
 
, 
State
 
Master of Science
 
Computer Science
 
GPA: 
GPA: 3.93/4
GPA: 3.92/4
May 2013
 
BMSCE
 
ï¼​ 
City
 
, 
State
 
Bachelor of Engineering
 
Computer Science
 
GPA: 
GPA: 8.81/10
GPA: 8.81/10
Qualifications
Programming and d..."
562,889,"DIRECTOR, BUSINESS DEVELOPMENT
Professional Summary
Results-driven and highly skilled business development director with in-depth state and federal government. Expertise in identifying, developing,
and executingÂ strategic pursuitsÂ of newÂ government opportunities.Â  Excellent healthcare and business process solutions experience
leveraging newÂ industry trends, as well as game-changing legislation and its impact to federal and state governments.Â Open and clear
communicator with demonstrated st..."
563,221,"PATIENT ADVOCATE
Professional Profile
Detail-oriented, efficient and organized, with extensive background in community-based organizations seeks to bring strong work ethic and
engaging interpersonal communication to a vibrant company. 
Over seven years of experience as an office manager/tax preparation worker and
over three years of experience assisting patients register for government programs.
Qualifications
Independent worker
Exceptionally organized
Record-keeping
EMail Software (Outlook, Thu..."
564,23,"SENIOR ACCOUNTANT
Summary
Experienced Senior Corporate Accountant dedicated to accounting and financial excellence, seeking to utilize skills and in-depth expertise in
Accounting (GAAP), General Ledger Reconciliation, Variance Analysis, Financial Reporting, Team Management and Process Improvement to
help achieve your company's goals.
Highlights
Microsoft Excel expert - Pivot Tables, V-Lookups, Formulas
Access Database Queries & data mining
Proficient in Microsoft Office, MS Word, Outlook, PowerP..."
565,1999,"HR PAYROLL/ ACCOUNTING REPRESENTATIVE
Summary
Diverse experience in Accounting, Credit Union Financial Services, Retail Sales, Customer Service, Telemarketing, Food & Beverage,
Construction and Ironworks. Outstanding organizational ability with attention to detail, while balancing multiple projects in fast-paced environments
with excellent interpersonal and communication skills. Demonstrated ability to gain customer trust and provide exceptional service, leading to
increased repeat and referral ..."
566,6,"INVESTMENT ACCOUNTANT
Career Focus
Accomplished and results oriented Investment professional with strong leadership and interpersonal skills who adds energy and value to an
organization's quest for excellence.
Summary of Skills
Internet and Microsoft Office - MS Word, MS Power Point, MS Excel, Pivot Tables, Spreadsheets,
Macros.
* Business Objects, Lombardi, Eagle Accounting System, PEGA, DRAS, Workbench.
Account reconciliations
Detail-oriented
Variance analysis
Detail-oriented
Analytical
Expert..."
567,1926,"HR PERSONNEL ASSISTANT
Summary
I am a U.S. citizen who is authorized to work in the US for any employer. I have worked 8 years as an Office Clerk, 2 years as a Student
Intern/Office Assistant, and 4 years as a Contractor. I am applying for the Data Entry Clerk position (Advert ID# 224278 Advert ID# 224278).
My skills and experiences include: Administrative Support, Auditing, File Management, Meeting Facilitation, Office Materials Management, &
Inventory Management.
Highlights
COMPUTER SKILLS: Mi..."
568,1226,"IT CONSULTANT
Summary
Over Seven years of Software Application Development, Application Support, Testing and Implementation experience with Web based
and N-tier Architectures involving all stages of Software Development Life Cycle (SDLC).
Experience in developing Web applications in . SDLC) including requirements, logical and physical architecture modeling, design,
development, implementation, and support.
Ability to work in a fast paced, collaborative environment and handle multiple concurrent ..."
569,684,"REVOLVING CREDIT SUPPORT SPECIALIST
Professional Background
Energetic, dedicated Support Specialist with strong interpersonal skills and 8+ years of contact center and customer service experience. Proven
ability to work effectively with people of various ages, cultural backgrounds, and socio-economic statuses. Financial and Customer Support
background and the ability to build new and strengthen existing relationships. Great attitude, strong work ethics and customer focused outlook.
Well-develope..."
570,1989,"HR COORDINATOR
Summary
Motivated professional seeking a career in outsides sales. Â Self-starting, driven, persuasive, and positive attitude is sure to be an asset to any
company. Â Trilingual: English, Spanish and French. Exceptional listening skills and customer focused attitude has proven to have profitable
outcomes.
Highlights
Sales
Strong lead development skills
Goal-oriented
Persuasive communication expertise
Multi-task management
Project Management
Payroll System Expertise
Creative Proble..."
571,1636,"FINANCE MANAGER
Summary
Flexible Financial Manager with the ability to multi-task, meet deadlines, communicate effectively, develop and motivate staff, general accounting
and 
financial reporting for private and public companies.
Highlights
Excellent analytical, communication and organizational skills.
Demonstrate initiative, responsibility and follow through for
""owned work""
Strong attention to detail with the ability to multi-task.
Self-directed critical thinker.
Experience in SOX compliance a..."
572,107,"STAFF ACCOUNTANT
Professional Summary
I am currently a graduate student in Masters of Science in Finance Management and IT and a CPA candidate with expected completion by the
end of 2017. I am an Accounting and Finance professional with 4+ years extensive experience in full financial statement reporting, month end
closures, Review of G'\L, Balance Sheet and Statement of Revenue and Expenses, and Financial Risk assessment as well as budget analysis and
various reconciliations.
Core Qualifications..."
573,1113,"CONSTRUCTION WORKER
Objective
WEB DEVELOPER
 Â 
Recent graduate and highly motivated 15 year veteran of the construction industry looking to build a new career in the web development field.
Passionate about taking a vision and making it a reality. Seeking an entry level position with a respected company to polish the skills I gained while
pursuing my degree and to develop new ones.
Highlights
Excellent problem solving skills
Fast learner
Experience working as part of a team environment
Proficien..."
574,1974,"HR MANAGER
Summary
To obtain a position that offers many opportunities for growth and development that will enhance my existing knowledge in Management and
Leadership. In return, I will give my very best to the company so it can achieve its goals and aspirations to continue future success.
Highlights
Leadership skills
Providing focus and direction
to subordinates
Motivating employees to do
better
Accuracy and attention to
detail
Ability to work as part of a
team
PossessÂ effective
communication ..."
575,895,"BUSINESS DEVELOPMENT DIRECTOR
Summary
I am looking for a challenging Business Development position that will utilize my knowledge and passion for sales while leveraging more than
twenty years of relationship building.
Highlights
Strong interpersonal skills including rapport building, listening, social versatility, courtesy and concern.
Solid sales call skills with proper preparation disciplines. This includes the ability to determine and communicate a clear meeting purpose,
question to identify ..."
576,1459,"EQUIPMENT ENGINEERING TECHNICIAN
Professional Summary
SkilledÂ Maintenance MechanicÂ Technician with superb problem solving and multi-tasking skills. Self-directed and motivated worker. To obtain
a position where Teamwork, Integrity and Proffesionalism are a high standard in the Company's Mission Statement. All while engaing in new
challenges and learning experiences.
Skills
Â·Â Â 20 years of Material Management experienceÂ  with State and Federal Government Â· 13
years of Law Enforcement experi..."
577,229,"MANAGER, DIGITAL MARKETING AND COMMUNICATIONS
Objective
Obtain the Health Analytic Consultant position at UnitedHealthcare to further my professional career by continuing to utilize and expand my
analytic, organizational, and interpersonal skills.
Skills
More than 19 years experience in healthcare, business development, marketing and planning analysis.
Develop
 Â and manage website for Advocate Physician Partners regarding their Managed Care and Clinical Integration for Population
Health Managem..."
578,1690,"FINANCE MANAGER
Executive Profile
To work in an organization where I can put in best of my efforts, which proves to be beneficial for the organization, gives opportunities for
professional and personal growth. Looking forward to work on a long term assignments in a corporate environment, where I will get exposed to
different working conditions, there by excelling and enhancing my skills along with benefiting the organization to reach greater heights.
Professional Experience
01/2010
 
to 
01/2014..."
579,136,"FAMILY ADVOCATE
Professional Summary
A motivated professional with practical, analytical, and operational skills with resourceful problem solving. Communicative and personable, will
learn and adapt quickly. Hands on, follow directions, and serve internal and external customers with poise and professionalism.
Skills
Strong interpersonal skills
MS Word, MS Excel, MS Powerpoint
Outlook
Benefit servicing systems: ICUE, Facet, ISET
Customer service management expertise
Citrix, medical benefit and cla..."
580,688,"SENIOR FINANCIAL ANALYST
Professional Summary
Skills
Work History
Senior Financial Analyst
 
, 
01/2012
 
to 
Current
 
Company Name
 
â€“ 
City
 
, 
State
 
Manage the entire month end accounting close process related to accruals and reclass for the Mortgage Banking Technology line of
business; build checks and balances into the accrual process.
Create and maintain procedures and documentation for the monthly accrual process.
Get business managers validate the most significant monthly expenses ..."
581,968,"CHEF
Career Overview
Dedicated Customer Service Representative motivated to maintain customer satisfaction and contribute to company success.
Core Strengths
Strong organizational skills
Active listening skills
Sharp problem solver
Energetic work attitude
Inventory control familiarity
Customer service expert
Accomplishments
Customer Interface
 Â 
Greeted customers upon entrance and handled all cash and credit transactions.
Assisted customers over the phone regarding store operations, product, pro..."
582,612,"LABORER
Career Focus
Looking for an entry level job with challenges. Nolan has excellent communications skills, works well with others, while skillfully making
independent decisions. Looking for a long term job to better myself.
Accomplishments
Captain of high school Football and Baseball 2014-2015
Lettered Varsity Football 4 yearsÂ 
Lettered Varsity Baseball 3 yearsÂ 
Lettered Varsity Track 1 year
Voted Most Athletic by classmates 2015
First Team All Region Football 2014
Second Team All Confere..."
583,679,"PROJECT ANALYST
Summary
Business Analyst versed in data mapping and user acceptance testing, as well as solving complex problems in high-pressure environments. Excels
at cultivating, managing and leveraging client relationships.
Highlights
Business process improvement
Business requirements matrixes
Project management
Advanced problem solving abilities
Business systems analysis
Ability to produce executive level reports and presentations
User acceptance testing
Forecasting and planning
Experience..."
584,2244,"RESEARCH AND STUDY ELABORATION MANAGER / PUBLIC RELATIONS MANAGER / HUMAN RESOURCES SUPERVISOR
https://www.linkedin.com/profile/view?id=178111535&trk=nav_responsive_tab_profile
https://www.facebook.com/theofilos.bentis
Additional Information
*Date of Birth 
: 
December 9, 1980 *Place of Birth 
: 
Athens, Greece *Marital Status 
: 
Single
Professional Summary
Shifting business needs and priorities in a systematic and effective way. Excels at implementing operational assessments and conducting fun..."
585,671,"CUSTOMER SERVICE REPRESENTATIVE
Professional Summary
Office professional with an extensive background of more than twelve years of Customer Service, Account Manager and Office Administrative
Support. Exude strong and excellent communications skills and creative support with team-building and the ability work independently. I adapt to
change quickly and motivate staff to ensure a smooth workflow and increased productivity.
Skills
Typing 55 wpm/Ten-Key 10500 kspm
Microsoft Office (Word, Excel, Out..."
586,880,"BUSINESS DEVELOPMENT SPECIALIST/BRANCH MANAGER
Summary
Well-qualified and results-oriented manager with 10 years of experience in positions of increasing responsibility and duties. Top-performer with a
track record of consistently meeting or exceeding organizational and customer expectations. Skilled at inspiring and motivating staff to better
themselves and others around them. Proven team leader with experience in performance management, HRIS, training and development, and
candidate recruitment..."
587,512,"SECRETARY II
Summary
Energetic management professional with over seven years of experience in high-level executive support and accounting roles. Organized and
dedicated professional who excels at prioritizing and completing multiple tasks simultaneously and following through to achieve all project goals.
Experience
Secretary II
 
Dec 2014
 
to 
Jun 2016
 
Company Name
 
ï¼​ 
City
 
, 
State
Served as the primary support channel to five sales executive in the Albuquerque East,.
Albuquerque West, ..."
